# GlueX 2019 gamma p -> jpsi p integrated cross-sections \
# egamma    egam_bin    sigma       error
8.38        0.18        0.116       0.033
8.74        0.18        0.343       0.105
9.1         0.18        0.313       0.137
9.46        0.18        0.835       0.278
9.82        0.18        0.868       0.224
10.18       0.18        0.949       0.213
10.54       0.18        1.383       0.430
10.9        0.18        1.274       0.276
11.26       0.18        2.158       0.780
11.62       0.18        3.245       1.00
