# Jpsi-007 data with experimental setting 1
# setting	idx	E_idx	t_idx	E_low	E_high	abs_t_tmin_low	abst_t_tmin_high	avg_E	avg_abs_t_tmin	avg_abs_t	dsdt_nb	stat_error	sys_error	tot_error
1	0	8	0	9.85	10	0	0.1	9.92	0.05	0.63	0.724	0.167	0.051	0.175
1	1	8	1	9.85	10	0.1	0.2	9.93	0.15	0.73	0.349	0.162	0.05	0.169
1	2	9	0	10	10.15	0	0.1	10.08	0.05	0.6	0.918	0.136	0.014	0.137
1	3	9	1	10	10.15	0.1	0.2	10.08	0.15	0.7	0.505	0.155	0.024	0.157
1	4	9	2	10	10.15	0.2	0.3	10.08	0.25	0.8	0.44	0.17	0.006	0.17
1	5	9	3	10	10.15	0.3	0.4	10.08	0.35	0.9	0.372	0.192	0.044	0.197
1	6	9	4	10	10.15	0.4	0.6	10.07	0.5	1.05	0.649	0.189	0.066	0.2
1	7	10	0	10.15	10.3	0	0.1	10.23	0.05	0.57	0.738	0.108	0.002	0.108
1	8	10	1	10.15	10.3	0.1	0.2	10.23	0.15	0.67	0.885	0.15	0.023	0.152
1	9	10	2	10.15	10.3	0.2	0.3	10.23	0.25	0.77	1.071	0.194	0.021	0.195
1	10	10	3	10.15	10.3	0.3	0.4	10.23	0.35	0.87	0.75	0.2	0.044	0.205
1	11	10	4	10.15	10.3	0.4	0.5	10.22	0.45	0.97	0.551	0.204	0.028	0.206
1	12	10	5	10.15	10.3	0.5	0.7	10.23	0.6	1.12	0.248	0.121	0.012	0.122
1	13	11	0	10.3	10.45	0	0.1	10.38	0.05	0.54	0.975	0.12	0.034	0.125
1	14	11	1	10.3	10.45	0.1	0.2	10.38	0.15	0.64	0.602	0.128	0.033	0.132
1	15	11	2	10.3	10.45	0.2	0.3	10.38	0.25	0.74	0.607	0.15	0.01	0.15
1	16	11	3	10.3	10.45	0.3	0.4	10.38	0.35	0.84	0.443	0.158	0.043	0.163
1	17	11	4	10.3	10.45	0.4	0.5	10.38	0.45	0.94	0.491	0.183	0.025	0.185
1	18	11	5	10.3	10.45	0.5	0.7	10.38	0.6	1.09	0.38	0.124	0.019	0.125
1	19	12	0	10.45	10.6	0	0.1	10.56	0.05	0.51	0.971	0.144	0.035	0.148
1	20	12	1	10.45	10.6	0.1	0.2	10.56	0.15	0.61	0.77	0.164	0.043	0.169
1	21	12	2	10.45	10.6	0.2	0.3	10.55	0.25	0.71	0.719	0.188	0.022	0.189
1	22	12	3	10.45	10.6	0.3	0.4	10.55	0.35	0.81	1.064	0.244	0.088	0.259
1	23	12	4	10.45	10.6	0.4	0.5	10.55	0.45	0.91	0.437	0.206	0.043	0.21
1	24	12	5	10.45	10.6	0.5	0.7	10.55	0.6	1.06	0.584	0.161	0.027	0.163
1	25	12	6	10.45	10.6	0.7	0.9	10.54	0.8	1.26	0.22	0.131	0.038	0.136
