# Jpsi-007 data with experimental setting 4
#setting	idx	E_idx	t_idx	E_low	E_high	abs_t_tmin_low	abst_t_tmin_high	avg_E	avg_abs_t_tmin	avg_abs_t	dsdt_nb	stat_error	sys_error	tot_error
4	0	3	0	9.1	9.25	0.1	0.25	9.18	0.17	0.98	0.415	0.285	0.042	0.288
4	1	3	1	9.1	9.25	0.25	0.4	9.18	0.32	1.13	0.295	0.21	0.032	0.212
4	2	4	0	9.25	9.4	0.15	0.4	9.33	0.27	1.02	0.403	0.14	0.045	0.147
4	3	4	1	9.25	9.4	0.4	0.65	9.32	0.52	1.28	0.221	0.089	0.013	0.09
4	4	4	2	9.25	9.4	0.65	0.95	9.33	0.79	1.54	0.269	0.1	0.026	0.103
4	5	5	0	9.4	9.55	0.3	0.6	9.48	0.44	1.14	0.417	0.114	0.027	0.117
4	6	5	1	9.4	9.55	0.6	0.9	9.48	0.74	1.44	0.173	0.067	0.02	0.07
4	7	5	2	9.4	9.55	0.9	1.2	9.47	1.04	1.75	0.124	0.071	0.017	0.073
4	8	6	0	9.55	9.7	0.4	0.7	9.63	0.54	1.2	0.389	0.132	0.028	0.135
4	9	6	1	9.55	9.7	0.7	1.1	9.63	0.88	1.54	0.25	0.061	0.01	0.062
4	10	6	2	9.55	9.7	1.1	1.55	9.63	1.31	1.97	0.095	0.047	0.009	0.048
4	11	7	0	9.7	9.85	0.65	1	9.78	0.81	1.43	0.298	0.087	0.015	0.089
4	12	7	1	9.7	9.85	1	1.35	9.78	1.16	1.78	0.101	0.047	0.005	0.047
4	13	7	2	9.7	9.85	1.35	1.75	9.78	1.53	2.15	0.043	0.041	0.007	0.042
4	14	8	0	9.85	10	0.9	1.4	9.92	1.13	1.71	0.102	0.049	0.016	0.051
4	15	8	1	9.85	10	1.4	2.05	9.92	1.69	2.27	0.106	0.04	0.01	0.041
4	16	9	0	10	10.15	0.95	1.5	10.07	1.2	1.75	0.325	0.086	0.009	0.086
4	17	9	1	10	10.15	1.5	2.2	10.07	1.8	2.35	0.116	0.041	0.014	0.043
4	18	10	0	10.15	10.3	1.2	1.8	10.23	1.47	1.99	0.213	0.074	0.017	0.076
4	19	10	1	10.15	10.3	1.8	2.45	10.23	2.09	2.61	0.097	0.042	0.003	0.042
4	20	11	0	10.3	10.45	1.35	1.95	10.38	1.62	2.11	0.167	0.085	0.005	0.085
4	21	11	1	10.3	10.45	1.95	2.6	10.38	2.24	2.73	0.043	0.034	0.002	0.034
4	22	12	0	10.45	10.6	1.7	2.55	10.55	2.06	2.52	0.06	0.046	0.009	0.046
